,lat,lon,Year,Density
116,47.433,-2.519,1987,3.06767179630252
117,47.475,-2.55116666666667,1987,2.2932247597069
118,47.4906666666667,-2.53966666666667,1987,1.88795113514356
119,47.4055,-2.64966666666667,1988,2.04203214325431
120,47.4295,-2.6395,1988,0
121,47.4615,-2.59533333333333,1988,36.8452113792392
122,47.4383333333333,-2.54383333333333,1988,82.6120461480227
123,47.451,-2.55566666666667,1988,233.226514881191
124,47.4933333333333,-2.5175,1988,555.155367658827
125,47.4676666666667,-2.5615,1988,47.6681718715886
126,47.4545,-2.65716666666667,1988,1.92191260541582
127,47.5023333333333,-2.39733333333333,1988,3.85557158869107
128,47.4961666666667,-2.45283333333333,1988,19.3433598461182
129,47.4998333333333,-2.46466666666667,1988,76.6466442956321
130,47.5056666666667,-2.4755,1988,276.415418535132
